,Central,East,South,SouthWest,NorthWest
2030-03-13 08:00:00,6046.927022075163,4247.649956936043,492.9407929096981,3905.828627942989,1138.7367886132556
2030-03-13 09:00:00,6311.05546568967,4201.28654852358,473.769290400212,3874.5440950004863,1163.3642721599108
2030-03-13 10:00:00,6105.845788676495,4192.793826497308,483.07495035630336,3843.39178358193,1168.30087280193
2030-03-13 11:00:00,6237.835824115046,4141.630982962964,479.08779291149017,3858.317283516456,1146.397226589018
2030-03-13 12:00:00,6136.583279257501,4054.370637165834,467.8300783581961,3804.016646359856,1104.538078724864
2030-03-13 13:00:00,6062.182107447461,4112.041455234622,469.2786697713287,3830.562742898896,1093.6991202660604
2030-03-13 14:00:00,6321.585945596518,4092.187865796716,469.92768169139896,3761.0822868333407,1094.4323992404222
2030-03-13 15:00:00,6284.411740089657,4168.727601471353,489.38762033736936,3888.716887693732,1109.610094337071
2030-03-13 16:00:00,6399.29747830173,4260.459326777769,509.31102373245176,3896.523002147646,1136.4069307669631
2030-03-13 17:00:00,6219.757473093248,4573.768922147123,544.8515998440234,4042.871759574125,1219.9544307898811
2030-03-13 18:00:00,6479.099667609976,4496.7328947700735,543.6776168198161,4103.76994483918,1225.9421917302857
2030-03-13 19:00:00,6360.920977576451,4513.955343757731,558.7810015832471,4090.082924264399,1230.062490130603
2030-03-13 20:00:00,6338.271208070622,4430.850535900244,559.1880174704327,4164.260274994912,1235.6891639161513
2030-03-13 21:00:00,6255.850251270679,4230.066042795297,539.8789631563717,3942.6462401841545,1205.7426782458854
2030-03-13 22:00:00,5837.889089598674,3992.835356717784,481.8617342326024,3721.151398256208,1075.9072967016866
2030-03-13 23:00:00,5457.7329844169935,3733.4389094809953,439.7179435459089,3569.2761226056846,918.6471119889555
2030-03-14 00:00:00,5162.150143733457,3546.038298026373,418.2124370343007,3493.829058734448,844.5255030845483
2030-03-14 01:00:00,5128.732849636589,3487.521021985764,398.6887288588172,3426.0960478353954,783.9169963437855
2030-03-14 02:00:00,5076.472006984914,3490.0136921776752,398.8582386558102,3423.5891141047755,764.4934130491602
2030-03-14 03:00:00,4977.459816863195,3552.124199127587,404.89961096286817,3429.1040574145263,757.1798526507973
2030-03-14 04:00:00,5010.031487308025,3675.140560400291,403.2281678609659,3491.139190634596,765.3303811881638
2030-03-14 05:00:00,5292.776784731919,3972.081124288342,444.4818522988814,3597.247831862392,818.7085557217586
2030-03-14 06:00:00,5431.092057928911,4202.600893784427,472.94432277942406,3779.062426605642,946.0511435503324
2030-03-14 07:00:00,5617.49768446191,4159.099855471727,489.9431773071065,3905.5021679948063,1103.0513663922934
2030-03-14 08:00:00,6008.714456453012,4256.518719135883,484.9256161094522,3880.915087048314,1138.05151867825
2030-03-14 09:00:00,6322.472230368974,4256.862803569409,481.9153808574856,3930.0617104593057,1181.6584987253982
2030-03-14 10:00:00,6283.756438880006,4256.364397636106,480.96199545390056,3870.5387332944906,1173.4764257146694
2030-03-14 11:00:00,6195.58119553598,4114.338584604458,470.63625247364735,3826.367086989869,1165.8568151651673
2030-03-14 12:00:00,6175.160642335713,4077.110247193796,474.0035620710288,3865.1954011022713,1109.125910411663
2030-03-14 13:00:00,6203.381043343135,4090.730755116525,482.8652577965303,3770.4779582945353,1103.0433178015396
2030-03-14 14:00:00,6236.718494439282,4123.732007425318,478.6615496826231,3782.547192906114,1063.9700918700648
2030-03-14 15:00:00,6099.405628694929,4218.563590113748,474.2403543469189,3821.28448599656,1097.8816160166778
